1_RF,1_GBC,1_DT,1_KNN,2_RF,2_GBC,2_DT,2_KNN,3_RF,3_GBC,3_DT,3_KNN
"['log_loss: ', 0.8315947745024285]","['log_loss: ', 0.5976638554985724]","['log_loss: ', 10.876911920615587]","['log_loss: ', 2.459482808226647]","['log_loss: ', 0.7614260921343133]","['log_loss: ', 0.5976547758516163]","['log_loss: ', 10.798320418883904]","['log_loss: ', 2.9901517056875164]","['log_loss: ', 0.7117107542202854]","['log_loss: ', 0.5975829761383757]","['log_loss: ', 10.844786866741318]","['log_loss: ', 2.9273783436843583]"
"['score: ', 0.7051918735891648]","['score: ', 0.7187358916478556]","['score: ', 0.6785553047404064]","['score: ', 0.6397291196388262]","['score: ', 0.709255079006772]","['score: ', 0.7182844243792325]","['score: ', 0.6808126410835215]","['score: ', 0.6735891647855531]","['score: ', 0.7033860045146727]","['score: ', 0.7200902934537246]","['score: ', 0.6799097065462754]","['score: ', 0.6762979683972912]"
