,index,importance
179,"Features_bin_(352.088, 354.083]",0.0013648503873969302
108,"Features_bin_(210.456, 212.451]",0.0013487278537515708
211,event_type_event_type 23,0.0013452527140788303
61,"Features_bin_(116.699, 118.694]",0.0013371454918605084
71,"Features_bin_(136.648, 138.642]",0.0013069722141773137
78,"Features_bin_(150.611, 152.606]",0.0012520453480217252
26,"Features_bin_(46.881, 48.876]",0.001243250160853856
117,"Features_bin_(228.409, 230.404]",0.0012427385838655863
206,event_type_event_type 19,0.0012415362434410283
256,resource_type_resource_type 5,0.0011677859558795315
3,"Features_bin_(0.615, 2.995]",0.0011564102035402299
122,"Features_bin_(238.383, 240.378]",0.0010936044780444007
254,resource_type_resource_type 3,0.0010918241423094105
6,"Features_bin_(6.984, 8.979]",0.0010885365667387978
65,"Features_bin_(124.679, 126.674]",0.0010575466429627507
207,event_type_event_type 2,0.0010434211149005675
94,"Features_bin_(182.528, 184.523]",0.0010314677011499743
27,"Features_bin_(48.876, 50.87]",0.0010256210199823534
126,"Features_bin_(246.363, 248.358]",0.0010175619306397785
191,"Features_bin_(376.026, 378.021]",0.0010171299627186683
135,"Features_bin_(264.316, 266.311]",0.0010056101464835888
133,"Features_bin_(260.326, 262.321]",0.0009835089981177652
171,"Features_bin_(336.13, 338.124]",0.0009443940629940708
166,"Features_bin_(326.155, 328.15]",0.000942979291242636
34,"Features_bin_(62.839, 64.834]",0.0009407965431486798
187,"Features_bin_(368.047, 370.041]",0.0009252442177660841
214,event_type_event_type 26,0.0009172578849485085
31,"Features_bin_(56.855, 58.85]",0.0008888551233931774
161,"Features_bin_(316.181, 318.176]",0.000878678830763084
49,"Features_bin_(92.762, 94.756]",0.0008624771159780532
115,"Features_bin_(224.42, 226.415]",0.0008491729410672958
21,"Features_bin_(36.907, 38.902]",0.0008468625105749071
162,"Features_bin_(318.176, 320.171]",0.0008464984685333035
266,severity_type_severity_type 5,0.0008108621174486432
20,"Features_bin_(34.912, 36.907]",0.0008014182280227278
77,"Features_bin_(148.617, 150.611]",0.0007883289982585491
146,"Features_bin_(286.259, 288.254]",0.0007575459225945228
198,event_type_event_type 10,0.0007389365394633855
130,"Features_bin_(254.342, 256.337]",0.00073735992153734
56,"Features_bin_(106.725, 108.72]",0.0007192554388712923
258,resource_type_resource_type 7,0.0006975764795249646
17,"Features_bin_(28.927, 30.922]",0.0006872652768619053
66,"Features_bin_(126.674, 128.668]",0.0006793014262064376
13,"Features_bin_(20.948, 22.943]",0.0006668437628133459
227,event_type_event_type 38,0.0006589153833604465
10,"Features_bin_(14.964, 16.959]",0.0006554725611930741
32,"Features_bin_(58.85, 60.845]",0.0006279429290994922
62,"Features_bin_(118.694, 120.689]",0.0006058554969932654
215,event_type_event_type 27,0.0006058522393288018
249,event_type_event_type 9,0.0005880186775055378
22,"Features_bin_(38.902, 40.896]",0.0005701383453306393
72,"Features_bin_(138.642, 140.637]",0.0005295680304111359
58,"Features_bin_(110.715, 112.71]",0.0004989766740302383
168,"Features_bin_(330.145, 332.14]",0.0004915388612421993
216,event_type_event_type 28,0.00046712499303124265
169,"Features_bin_(332.14, 334.135]",0.0004655451968077656
230,event_type_event_type 40,0.0004650583831308446
129,"Features_bin_(252.347, 254.342]",0.0004511458977238458
68,"Features_bin_(130.663, 132.658]",0.0004323502656378359
74,"Features_bin_(142.632, 144.627]",0.0004171110872434773
89,"Features_bin_(172.554, 174.549]",0.00039273333352324107
51,"Features_bin_(96.751, 98.746]",0.00036492460678300045
5,"Features_bin_(4.99, 6.984]",0.0003635502166677649
172,"Features_bin_(338.124, 340.119]",0.00033657447019810795
219,event_type_event_type 30,0.00033593852914132584
