1_RF,1_GBC,1_DT,1_KNN,2_RF,2_GBC,2_DT,2_KNN,3_RF,3_GBC,3_DT,3_KNN
"['log_loss: ', 0.7773097029386979]","['log_loss: ', 0.6014685591010664]","['log_loss: ', 10.45302791595496]","['log_loss: ', 3.2528706423152567]","['log_loss: ', 0.7963529281606756]","['log_loss: ', 0.6004046148431805]","['log_loss: ', 10.530680617893557]","['log_loss: ', 3.202871347545518]","['log_loss: ', 0.8894057624178895]","['log_loss: ', 0.5947427791669142]","['log_loss: ', 10.139964328992878]","['log_loss: ', 2.6786551370784455]"
"['score: ', 0.7191873589164786]","['score: ', 0.7200902934537246]","['score: ', 0.6930022573363431]","['score: ', 0.6681715575620768]","['score: ', 0.7259593679458239]","['score: ', 0.7200902934537246]","['score: ', 0.690744920993228]","['score: ', 0.6451467268623025]","['score: ', 0.7069977426636569]","['score: ', 0.7209932279909707]","['score: ', 0.6839729119638827]","['score: ', 0.6984198645598194]"
